xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
8,9,8,3,3,3498.8203273137988,183.5180661725264
8,9,8,4,4,3753.821748813321,389.7751783447145
8,9,8,5,5,7039.614821700674,439.28956726535665
8,9,8,6,4,2630.5918449365104,182.7533342483738
8,9,8,7,2,3133.541682890374,506.514972677024
8,9,8,8,1,331.23015340578735,71.36034035511426
9,10,1,1,6,9072538.748162117,370980.36461532436
9,10,1,2,8,4265906.863421547,137077.23846008276
9,10,1,3,8,2438447.1030899314,62907.771116158474
9,10,1,4,8,1422803.780017321,43550.78891914974
9,10,1,5,8,1402630.7752933775,50734.33387830013
9,10,1,6,2,608305.2790950309,120235.48896381432
9,10,2,1,8,1546168.3305774922,31042.5990930472
9,10,2,2,8,761401.4735717814,24889.326210017625
9,10,2,3,8,567034.0026466047,7742.923101698965
9,10,2,4,8,417032.55310135597,5405.726199391192
9,10,2,5,8,541625.1824844335,5390.379816730902
9,10,2,6,8,289768.23630094033,3938.7344825823684
9,10,2,7,8,157463.83811844853,3690.142040398771
9,10,2,8,8,139110.76985861117,4966.936362763631
9,10,3,1,8,508222.28397880355,9827.008046382774
9,10,3,2,8,341485.6018111607,7417.761147105033
9,10,3,3,8,263989.3149880654,5743.775892845386
9,10,3,4,8,224112.33352839664,3539.534502947964
9,10,3,5,8,302013.4144351011,3449.1846692831173
9,10,3,6,8,179608.84353801556,2331.849813330512
9,10,3,7,8,103217.77888717035,1432.0953122069461
9,10,3,8,8,81488.52705542842,1162.0715066228552
9,10,3,9,8,37742.84742675042,920.4192900924642
9,10,3,10,8,23464.568299416926,1004.5854196272436
9,10,3,11,5,4992.645010086866,650.0468489417449
9,10,4,1,8,187486.46062671026,4529.739717440235
9,10,4,2,8,150038.1345882971,4121.357689230666
9,10,4,3,8,126691.91300065379,4393.733932884719
9,10,4,4,6,86414.66356602819,1360.8423824973888
9,10,4,5,8,165886.49208601832,4196.537756325945
9,10,4,6,8,112290.73481167422,2769.1247028934363
9,10,4,7,8,71961.36728243736,1769.229281094225
9,10,4,8,8,61093.647558874385,1136.4600026098658
9,10,4,9,8,31671.457352696278,641.8232271424209
9,10,4,10,8,18212.863981325107,446.9910252468193
9,10,4,11,8,8208.82781219075,310.7981178831793
9,10,5,1,8,104890.35988660497,2360.981965646616
9,10,5,2,7,75103.8911287372,3028.854022040818
9,10,5,3,7,62155.48326022971,3712.2986750996247
9,10,5,4,6,51014.15024245132,1478.5240764093724
9,10,5,5,7,88737.68368161944,3985.9862041709853
9,10,5,6,6,53814.41622093892,784.2128827828507
9,10,5,7,7,45234.53869064864,2019.879407883175
9,10,5,8,6,36540.97454786076,529.5983860587907
9,10,5,9,6,20758.657729100272,387.5333247437764
9,10,5,10,8,15224.089675653904,456.8773395843043
9,10,5,11,7,7531.486684959895,238.09815212996529
9,10,6,1,8,61801.6706278798,1247.1999043277735
9,10,6,2,7,48065.14314248208,2340.0138708788513
9,10,6,3,6,34703.04829336932,1215.5116419073493
9,10,6,4,6,31489.16249671097,1449.0331916949424
9,10,6,5,6,48674.89405944315,1213.3172275877862
9,10,6,6,6,34814.78808252531,648.7940507851595
9,10,6,7,6,25780.12279405703,499.7985011852293
9,10,6,8,6,23330.227020161954,430.8383432208259
9,10,6,9,6,13439.50280107341,300.9190714180513
9,10,6,10,6,7519.352306668812,212.07267607444575
9,10,6,11,6,2919.6732993621195,130.51876225752574
9,10,7,1,8,39124.29654749233,807.4736091966295
9,10,7,2,7,31566.53262594538,1451.5196077379057
9,10,7,3,6,20929.57434208621,1199.893050061628
9,10,7,4,6,17306.356241184094,742.6499943678414
9,10,7,5,6,28419.42495124029,1454.9766252875895
9,10,7,6,6,19303.391177071317,674.5874525969316
9,10,7,7,6,11725.168194704487,350.62592216493397
9,10,7,8,6,8980.502705783025,269.8140464064446
9,10,7,9,6,2976.096288238972,159.49453890723834
9,10,7,10,3,795.0819488281254,89.34182342217036
9,10,8,1,8,9793.185240014382,422.5869342699616
9,10,8,2,5,4911.9745718957765,296.8295004106665
9,10,8,3,4,2129.975643095787,152.11104780511945
9,10,8,4,3,1302.3361752846426,117.57577850137304
9,10,8,5,3,1106.4513081186371,110.72982858128942
9,10,8,6,2,342.22192326252554,64.40696518479135
10,11,1,1,6,8889550.288635869,461743.7946102072
10,11,1,2,7,5353132.986929879,271634.27797364094
10,11,1,3,8,3081752.1924642776,153419.03086239853
10,11,1,4,5,962426.1400731269,57080.47073482924
10,11,1,5,4,926567.113322486,106466.58888153019
10,11,2,1,8,1527417.4169243248,26574.223969056504
